# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00

1 0.0000 2959408375415.9111 295947102787.2888
2 0.9045 2702855982936.5332 271656529967.0721
3 1.8090 2467411066102.0640 249251558026.0489
4 2.7136 2251431180680.2539 228594288063.3754
5 3.6181 2053394288903.0857 209556280214.8599
6 4.5226 1871890480237.0737 192017948176.4753
7 5.4271 1705614223405.2158 175867989681.7108
8 6.3317 1553357118036.7715 161002850965.8943
9 7.2362 1414001116055.3179 147326223348.9262
10 8.1407 1286512184562.9321 134748570161.7329
11 9.0452 1169934383542.6592 123186682331.3360
12 9.9497 1063384333186.8241 112563261024.9610
13 10.8543 966046047068.2456 102806525835.1691
14 11.7588 877166108709.1171 93849847065.8289
15 12.6633 796049170371.1256 85631400752.9480
16 13.5678 722053754093.6934 78093845125.1334
17 14.4724 654588336148.0455 71184017275.8876
18 15.3769 593107697156.0750 64852648884.2021
19 16.2814 537109521147.5068 59054099881.1257
20 17.1859 486131227799.3605 53746109018.2884
21 18.0905 439747023020.7256 48889560349.8693
22 18.9950 397565153915.9072 44448264692.3400
23 19.8995 359225354982.3917 40388755176.5992
24 20.8040 324396473179.1254 36680096054.9519
25 21.7085 292774260237.3953 33293703970.8871
26 22.6131 264079321283.3547 30203180942.8748
27 23.5176 238055209499.6752 27384158354.5186
28 24.4221 214466657176.1637 24814151282.4928
29 25.3266 193097934086.9268 22472422530.8096
30 26.2312 173751324686.7663 20339855775.2278
31 27.1357 156245716143.4741 18398837255.0958
32 28.0402 140415289717.1826 16633145481.6921
33 28.9447 126108308464.4049 15027848462.2873
34 29.8492 113185994684.3165 13569207967.7486
35 30.7538 101521490939.5473 12244590398.6349
36 31.6583 90998898874.5736 11042383830.4446
37 32.5628 81512390422.9868 9951920843.0431
38 33.4673 72965386341.6306 8963406762.3891
39 34.3719 65269797336.0029 8067852964.5392
40 35.2764 58345323348.4589 7257014912.6130
41 36.1809 52118806869.7000 6523334616.9953
42 37.0854 46523636405.7022 5859887227.5843
43 37.9899 41499196487.6394 5260331484.4334
44 38.8945 36990360852.3044 4718863769.7057
45 39.7990 32947025645.9126 4230175519.5299
46 40.7035 29323679715.7789 3789413769.1500
47 41.6080 26079009252.9433 3392144618.7395
48 42.5126 23175534235.1213 3034319420.4524
49 43.4171 20579274294.0521 2712243499.7395
50 44.3216 18259441795.0700 2422547235.7120
51 45.2261 16188160070.1499 2162159336.4181
52 46.1307 14340204889.3681 1928282155.3449
53 47.0352 12692767390.2355 1718368905.3070
54 47.9397 11225236810.2283 1530102635.1551
55 48.8442 9919001485.5694 1361376843.4722
56 49.7487 8757266689.3770 1210277611.6438
57 50.6533 7724887985.1466 1075067146.4219
58 51.5578 6808218867.5976 954168629.3758
59 52.4623 5994971552.6044 846152277.4554
60 53.3668 5274089861.6211 749722525.3221
61 54.2714 4635633224.0708 663706246.1305
62 55.1759 4070670893.9392 587041933.1095
63 56.0804 3571185544.6217 518769769.6086
64 56.9849 3129985469.2210 458022520.2574
65 57.8894 2740624672.2774 404017180.5628
66 58.7940 2397330193.5999 356047326.6460
67 59.6985 2094936055.7265 313476110.9264
68 60.6030 1828823273.7979 275729853.3987
69 61.5075 1594865410.5370 242292181.7438
70 62.4121 1389379199.7789 212698676.8761
71 63.3166 1209079799.8164 186531983.6720
72 64.2211 1051040272.8912 163417349.5606
73 65.1256 912654919.6636 143018556.3988
74 66.0302 791606127.5992 125034213.6142
75 66.9347 685834420.0780 109194382.9842
76 67.8392 593511418.8132 95257507.6481
77 68.7437 513015456.0068 83007620.0214
78 69.6482 442909594.6949 72251805.2155
79 70.5528 381921836.0772 62817898.3619
80 71.4573 328927311.3947 54552395.9163
81 72.3618 282932273.2330 47318562.5693
82 73.2663 243059717.0837 40994716.8393
83 74.1709 208536478.6898 35472679.7633
84 75.0754 178681666.2289 30656372.3474
85 75.9799 152896298.8249 26460548.5952
86 76.8844 130654034.3156 22809651.9994
87 77.7889 111492879.7028 19636784.3793
88 78.6935 95007787.3492 16882776.8601
89 79.5980 80844048.8265 14495353.6418
90 80.5025 68691406.4186 12428379.9905
91 81.4070 58278809.6991 10641186.6084
92 82.3116 49369751.3920 9097963.2124
93 83.2161 41758122.9259 7767214.7628
94 84.1206 35264535.7629 6621274.3595
95 85.0251 29733059.7538 5635867.3432
96 85.9296 25028334.4937 4789721.6230
97 86.8342 21033013.9463 4064219.6968
98 87.7387 17645508.5240 3443088.2372
99 88.6432 14777992.3689 2912121.4925
100 89.5477 12354646.8156 2458935.0931
101 90.4523 10310113.9558 2072747.1725
102 91.3568 8588136.8877 1744183.9975
103 92.2613 7140365.6508 1465107.5679
104 93.1658 5925310.0295 1228462.8885
105 94.0704 4907422.3904 1028142.8342
106 94.9749 4056295.5017 858868.7332
107 95.8794 3345961.8975 716084.9754
108 96.7839 2754282.8027 595866.1211
