# Tabulated Bond Potential File (Huang Model)


Bond1
N 200 EQ 3.820000

1 2.5000 61.0596 176.5241
2 2.5101 59.3116 171.3545
3 2.5201 57.6149 166.3025
4 2.5302 55.9685 161.3669
5 2.5402 54.3710 156.5461
6 2.5503 52.8214 151.8389
7 2.5603 51.3186 147.2440
8 2.5704 49.8614 142.7598
9 2.5804 48.4487 138.3851
10 2.5905 47.0794 134.1185
11 2.6005 45.7525 129.9586
12 2.6106 44.4668 125.9041
13 2.6206 43.2214 121.9536
14 2.6307 42.0151 118.1057
15 2.6407 40.8471 114.3590
16 2.6508 39.7161 110.7122
17 2.6608 38.6214 107.1640
18 2.6709 37.5618 103.7129
19 2.6809 36.5364 100.3576
20 2.6910 35.5442 97.0967
21 2.7010 34.5843 93.9288
22 2.7111 33.6559 90.8526
23 2.7211 32.7579 87.8668
24 2.7312 31.8894 84.9698
25 2.7412 31.0496 82.1605
26 2.7513 30.2377 79.4374
27 2.7613 29.4526 76.7991
28 2.7714 28.6937 74.2443
29 2.7814 27.9600 71.7715
30 2.7915 27.2508 69.3796
31 2.8015 26.5652 67.0670
32 2.8116 25.9024 64.8324
33 2.8216 25.2617 62.6744
34 2.8317 24.6424 60.5917
35 2.8417 24.0436 58.5829
36 2.8518 23.4646 56.6467
37 2.8618 22.9047 54.7816
38 2.8719 22.3632 52.9863
39 2.8819 21.8394 51.2594
40 2.8920 21.3327 49.5996
41 2.9020 20.8422 48.0055
42 2.9121 20.3675 46.4757
43 2.9221 19.9078 45.0089
44 2.9322 19.4626 43.6037
45 2.9422 19.0312 42.2587
46 2.9523 18.6130 40.9725
47 2.9623 18.2074 39.7439
48 2.9724 17.8139 38.5714
49 2.9824 17.4319 37.4536
50 2.9925 17.0609 36.3892
51 3.0025 16.7003 35.3768
52 3.0126 16.3496 34.4151
53 3.0226 16.0084 33.5026
54 3.0327 15.6761 32.6381
55 3.0427 15.3522 31.8201
56 3.0528 15.0363 31.0473
57 3.0628 14.7280 30.3184
58 3.0729 14.4268 29.6318
59 3.0829 14.1322 28.9864
60 3.0930 13.8440 28.3806
61 3.1030 13.5616 27.8132
62 3.1131 13.2848 27.2828
63 3.1231 13.0131 26.7880
64 3.1332 12.7462 26.3274
65 3.1432 12.4838 25.8997
66 3.1533 12.2255 25.5034
67 3.1633 11.9711 25.1374
68 3.1734 11.7202 24.8001
69 3.1834 11.4725 24.4902
70 3.1935 11.2278 24.2063
71 3.2035 10.9858 23.9471
72 3.2136 10.7464 23.7112
73 3.2236 10.5092 23.4972
74 3.2337 10.2740 23.3038
75 3.2437 10.0407 23.1296
76 3.2538 9.8090 22.9732
77 3.2638 9.5789 22.8333
78 3.2739 9.3500 22.7084
79 3.2839 9.1224 22.5973
80 3.2940 8.8958 22.4986
81 3.3040 8.6701 22.4108
82 3.3141 8.4453 22.3327
83 3.3241 8.2212 22.2628
84 3.3342 7.9977 22.1998
85 3.3442 7.7749 22.1423
86 3.3543 7.5527 22.0890
87 3.3643 7.3309 22.0385
88 3.3744 7.1097 21.9893
89 3.3844 6.8889 21.9403
90 3.3945 6.6687 21.8899
91 3.4045 6.4489 21.8368
92 3.4146 6.2297 21.7797
93 3.4246 6.0112 21.7171
94 3.4347 5.7932 21.6478
95 3.4447 5.5761 21.5702
96 3.4548 5.3597 21.4832
97 3.4648 5.1443 21.3853
98 3.4749 4.9299 21.2751
99 3.4849 4.7167 21.1513
100 3.4950 4.5048 21.0125
101 3.5050 4.2944 20.8573
102 3.5151 4.0856 20.6844
103 3.5251 3.8787 20.4925
104 3.5352 3.6738 20.2800
105 3.5452 3.4711 20.0457
106 3.5553 3.2709 19.7882
107 3.5653 3.0734 19.5061
108 3.5754 2.8789 19.1981
109 3.5854 2.6876 18.8628
110 3.5955 2.4999 18.4989
111 3.6055 2.3159 18.1049
112 3.6156 2.1360 17.6794
113 3.6256 1.9606 17.2212
114 3.6357 1.7900 16.7289
115 3.6457 1.6245 16.2011
116 3.6558 1.4645 15.6363
117 3.6658 1.3103 15.0334
118 3.6759 1.1624 14.3908
119 3.6859 1.0212 13.7072
120 3.6960 0.8871 12.9813
121 3.7060 0.7604 12.2117
122 3.7161 0.6417 11.3970
123 3.7261 0.5315 10.5358
124 3.7362 0.4301 9.6269
125 3.7462 0.3381 8.6687
126 3.7563 0.2560 7.6600
127 3.7663 0.1843 6.5993
128 3.7764 0.1236 5.4854
129 3.7864 0.0743 4.3168
130 3.7965 0.0370 3.0922
131 3.8065 0.0123 1.8102
132 3.8166 0.0008 0.4695
133 3.8266 0.0031 -0.9314
134 3.8367 0.0197 -2.3938
135 3.8467 0.0514 -3.9190
136 3.8568 0.0987 -5.5085
137 3.8668 0.1623 -7.1636
138 3.8769 0.2429 -8.8856
139 3.8869 0.3412 -10.6759
140 3.8970 0.4578 -12.5360
141 3.9070 0.5934 -14.4671
142 3.9171 0.7488 -16.4707
143 3.9271 0.9247 -18.5481
144 3.9372 1.1219 -20.7006
145 3.9472 1.3411 -22.9297
146 3.9573 1.5830 -25.2367
147 3.9673 1.8486 -27.6230
148 3.9774 2.1385 -30.0899
149 3.9874 2.4537 -32.6388
150 3.9975 2.7949 -35.2711
151 4.0075 3.1629 -37.9881
152 4.0176 3.5587 -40.7912
153 4.0276 3.9832 -43.6819
154 4.0377 4.4371 -46.6613
155 4.0477 4.9214 -49.7310
156 4.0578 5.4370 -52.8923
157 4.0678 5.9849 -56.1465
158 4.0779 6.5659 -59.4950
159 4.0879 7.1811 -62.9393
160 4.0980 7.8313 -66.4805
161 4.1080 8.5177 -70.1202
162 4.1181 9.2411 -73.8597
163 4.1281 10.0026 -77.7003
164 4.1382 10.8033 -81.6435
165 4.1482 11.6441 -85.6906
166 4.1583 12.5260 -89.8429
167 4.1683 13.4503 -94.1018
168 4.1784 14.4179 -98.4687
169 4.1884 15.4299 -102.9450
170 4.1985 16.4875 -107.5321
171 4.2085 17.5918 -112.2312
172 4.2186 18.7438 -117.0438
173 4.2286 19.9448 -121.9712
174 4.2387 21.1959 -127.0148
175 4.2487 22.4982 -132.1760
176 4.2588 23.8531 -137.4561
177 4.2688 25.2616 -142.8565
178 4.2789 26.7250 -148.3786
179 4.2889 28.2445 -154.0238
180 4.2990 29.8213 -159.7933
181 4.3090 31.4568 -165.6886
